Operator ,Description ,Example
+= ,Add and assign ,x = 1; x += 2
+ ,Addition ,2 + 4 == 6
= ,Assign equal ,x = 10
@ ,At (decorators) ,@classmethod
: ,Colon ,def X():
", ",Comma ,"range(0, 10) "
{} ,Dict curly braces ,"{'x': 5, 'y': 10}"
/= ,Divide and assign ,x = 1; x /= 2
/ ,Division ,2 / 4 == 0.5
. ,Dot ,self.x = 10
== ,Equal ,4 == 5 == False
//= ,Floor divide and assign ,x = 1; x //= 2
// ,Floor division ,2 // 4 == 0
> ,Greater than ,4 > 4 == False
>= ,Greater than equal ,4 >= 4 == True
< ,Less than ,4 < 4 == False
<= ,Less than equal ,4 <= 4 == True
[] ,List brackets ,"[1,3,4] "
%= ,Modulus assign ,x = 1; x %= 2
* ,Multiplication ,2 * 4 == 8
*= ,Multiply and assign ,x = 1; x *= 2
!= ,Not equal ,4 != 5 == True
() ,Parenthesis ,len('hi') == 2
**= ,Power assign ,x = 1; x **= 2
** ,Power of ,2 ** 4 == 16
; ,semi-colon ,"print(""hi""); print(""there"")"
% ,String interpolate or modulus ,2 % 4 == 2
-= ,Subtract and assign ,x = 1; x -= 2
- ,Subtraction ,2 - 4 == -2 
